profundidade,pasta,arquivos_rastreados,py,md,csv,xlsx,json,txt,outros,acao_preliminar,motivo
2,.,7,0,1,0,0,0,1,5,MANTER,arquivo/pasta estrutural do projeto
2,aplicacao,2,2,0,0,0,0,0,0,MANTER,"pasta operacional, motor, dados, configuração ou saída oficial"
2,aplicacao/console,7,7,0,0,0,0,0,0,MANTER,"pasta operacional, motor, dados, configuração ou saída oficial"
2,config,3,0,0,0,0,3,0,0,MANTER,"pasta operacional, motor, dados, configuração ou saída oficial"
2,dados,3,0,0,0,1,2,0,0,MANTER,"pasta operacional, motor, dados, configuração ou saída oficial"
2,dados/bruto,1,0,0,0,0,0,0,1,MANTER,"pasta operacional, motor, dados, configuração ou saída oficial"
2,dados/intermediario,1,0,0,0,0,0,0,1,MANTER,"pasta operacional, motor, dados, configuração ou saída oficial"
2,dados/processado,1,0,0,0,0,0,0,1,MANTER,"pasta operacional, motor, dados, configuração ou saída oficial"
2,docs/governanca,2,0,2,0,0,0,0,0,MANTER_POR_ENQUANTO,documentação de governança; avaliar só depois
2,logs/iteracoes,16,0,16,0,0,0,0,0,CANDIDATO_CONSOLIDACAO,logs de iteração podem ser consolidados em relatório único
2,nucleo,47,47,0,0,0,0,0,0,MANTER,"pasta operacional, motor, dados, configuração ou saída oficial"
2,nucleo/builders,3,2,1,0,0,0,0,0,MANTER,"pasta operacional, motor, dados, configuração ou saída oficial"
2,nucleo/motor_diario,7,6,1,0,0,0,0,0,MANTER,"pasta operacional, motor, dados, configuração ou saída oficial"
2,nucleo/pagamentos,5,3,2,0,0,0,0,0,MANTER,"pasta operacional, motor, dados, configuração ou saída oficial"
2,nucleo/runners,3,2,1,0,0,0,0,0,MANTER,"pasta operacional, motor, dados, configuração ou saída oficial"
2,prompts/abertura_chat,1,0,1,0,0,0,0,0,AVALIAR,"prompts podem ser úteis, mas talvez excessivos"
2,prompts/auditoria,2,0,2,0,0,0,0,0,AVALIAR,"prompts podem ser úteis, mas talvez excessivos"
2,prompts/claude,1,0,1,0,0,0,0,0,AVALIAR,"prompts podem ser úteis, mas talvez excessivos"
2,prompts/codex,1,0,1,0,0,0,0,0,AVALIAR,"prompts podem ser úteis, mas talvez excessivos"
2,prompts/continuidade,1,0,1,0,0,0,0,0,AVALIAR,"prompts podem ser úteis, mas talvez excessivos"
2,prompts/gemini,1,0,1,0,0,0,0,0,AVALIAR,"prompts podem ser úteis, mas talvez excessivos"
2,prompts/simulacao,1,0,1,0,0,0,0,0,AVALIAR,"prompts podem ser úteis, mas talvez excessivos"
2,relatorios,2,0,1,0,0,0,0,1,AVALIAR,não classificado automaticamente
2,relatorios/atuais,48,0,42,5,0,0,1,0,AVALIAR,manter documentos mestres; remover relatórios redundantes antigos
2,relatorios/historico,412,0,410,0,0,1,1,0,AVALIAR,não classificado automaticamente
2,saidas,1,0,0,0,0,0,0,1,AVALIAR,"raiz de saídas contém oficial, diagnóstico e histórico"
2,saidas/diagnostico,2,0,0,2,0,0,0,0,CANDIDATO_REMOCAO_APOS_CONFERENCIA,artefatos diagnósticos antigos; manter só se forem referência oficial
2,saidas/operacional,1,0,1,0,0,0,0,0,AVALIAR,não classificado automaticamente
2,scripts,6,5,1,0,0,0,0,0,AVALIAR,raiz de scripts contém subpastas com destinos distintos
2,scripts/auditoria,3,2,1,0,0,0,0,0,AVALIAR,scripts de auditoria; verificar se ainda são usados
2,scripts/diagnostico,63,61,2,0,0,0,0,0,AVALIAR,diagnósticos parcialmente limpos; ainda pode haver subpastas históricas
2,scripts/historico_saida_propria_v203,50,49,1,0,0,0,0,0,CANDIDATO_REMOCAO,histórico próprio antigo; provável redundância após consolidação
2,scripts/operacional,3,2,1,0,0,0,0,0,MANTER,"pasta operacional, motor, dados, configuração ou saída oficial"
